nt_ref,nt_text,ot_ref,ot_text
Ac 7:3,"And said unto him, Get thee out of thy country, and from thy kindred, and come into the land which I shall shew thee.",Ge 12:1,"Now the LORD had said unto Abram, Get thee out of thy country, and from thy kindred, and from thy father's house, unto a land that I will show thee:"
"Ac 7:6,7","And God spake on this wise, That his seed should sojourn in a strange land; and that they should bring them into bondage, and entreat them evil four hundred years.","Ge 15:13,14","And he said unto Abram, Know of a surety that thy seed shall be a stranger in a land that is not theirs, and shall serve them; and they shall afflict them four hundred years;"
Ac 7:26,"And the next day he shewed himself unto them as they strove, and would have set them at one again, saying, Sirs, ye are brethren; why do ye wrong one to another?","Ex 2:13,14","And when he went out the second day, behold, two men of the Hebrews strove together: and he said to him that did the wrong, Wherefore smitest thou thy fellow?"
Ac 7:32,"Saying, I am the God of thy fathers, the God of Abraham, and the God of Isaac, and the God of Jacob. Then Moses trembled, and durst not behold.",Ex 3:6,"Moreover he said, I am the God of thy father, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses hid his face; for he was afraid to look upon God."
"Ac 7:33,34","Then said the Lord to him, Put off thy shoes from thy feet: for the place where thou standest is holy ground.","Ex 3:5,7,8,10","And he said, Draw not nigh hither: put off thy shoes from off thy feet, for the place whereon thou standest is holy ground."
Ac 7:35,"This Moses whom they refused, saying, Who made thee a ruler and a judge? the same did God send to be a ruler and a deliverer by the hand of the angel which appeared to him in the bush.",Ex 2:14,"And he said, Who made thee a prince and a judge over us? intendest thou to kill me, as thou killedst the Egyptian? And Moses feared, and said, Surely this thing is known."
Ac 7:37,"This is that Moses, which said unto the children of Israel, A prophet shall the Lord your God raise up unto you of your brethren, like unto me; him shall ye hear.",De 18:15,"The LORD thy God will raise up unto thee a Prophet from the midst of thee, of thy brethren, like unto me; unto him ye shall hearken;"
Ac 7:40,"Saying unto Aaron, Make us gods to go before us: for as for this Moses, which brought us out of the land of Egypt, we wot not what is become of him.",Ex 32:1,"And when the people saw that Moses delayed to come down out of the mount, the people gathered themselves together unto Aaron, and said unto him, Up, make us gods, which shall go before us; for as for this Moses, the man that brought us up out of the land of Egypt, we wot not what is become of him."
"Ac 7:49,50","Heaven is my throne, and earth is my footstool: what house will ye build me? saith the Lord: or what is the place of my rest?","Isa 66:1,2","Thus saith the LORD, The heaven is my throne, and the earth is my footstool: where is the house that ye build unto me? and where is the place of my rest?"
"Ac 8:32,33","The place of the scripture which he read was this, He was led as a sheep to the slaughter; and like a lamb dumb before his shearer, so opened he not his mouth:","Isa 53:7,8","He was oppressed, and he was afflicted, yet he opened not his mouth: he is brought as a lamb to the slaughter, and as a sheep before her shearers is dumb, so he openeth not his mouth."
Ac 13:22,"And when he had removed him, he raised up unto them David to be their king; to whom also he gave their testimony, and said, I have found David the son of Jesse, a man after mine own heart, which shall fulfil all my will.",1Sa 13:14,"But now thy kingdom shall not continue: the LORD hath sought him a man after his own heart, and the LORD hath commanded him to be captain over his people, because thou hast not kept that which the LORD commanded thee."
Ac 13:22,"And when he had removed him, he raised up unto them David to be their king; to whom also he gave their testimony, and said, I have found David the son of Jesse, a man after mine own heart, which shall fulfil all my will.",Ps 89:20,I have found David my servant; with my holy oil have I anointed him:
Ac 13:33,"God hath fulfilled the same unto us their children, in that he hath raised up Jesus again; as it is also written in the second psalm, Thou art my Son, this day have I begotten thee.",Ps 2:7,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee."
Ac 13:34,"And as concerning that he raised him up from the dead, now no more to return to corruption, he said on this wise, I will give you the sure mercies of David.",Ps 55:3,"Because of the voice of the enemy, because of the oppression of the wicked: for they cast iniquity upon me, and in wrath they hate me."
Ac 13:35,"Wherefore he saith also in another psalm, Thou shalt not suffer thine Holy One to see corruption.",Ps 16:10,For thou wilt not leave my soul in hell; neither wilt thou suffer thine Holy One to see corruption.
Ac 13:41,"Behold, ye despisers, and wonder, and perish: for I work a work in your days, a work which ye shall in no wise believe, though a man declare it unto you.",Hab 1:5,"Behold ye among the heathen, and regard, and wonder marvelously: for I will work a work in your days which ye will not believe, though it be told you."
Ac 13:47,"For so hath the Lord commanded us, saying, I have set thee to be a light of the Gentiles, that thou shouldest be for salvation unto the ends of the earth.",Isa 49:6,"And he said, It is a light thing that thou shouldest be my servant to raise up the tribes of Jacob, and to restore the preserved of Israel: I will also give thee for a light to the Gentiles, that thou mayest be my salvation unto the end of the earth."
Ac 23:5,"Then said Paul, I wist not, brethren, that he was the high priest: for it is written, Thou shalt not speak evil of the ruler of thy people.",Ex 22:28,"Thou shalt not revile the gods, nor curse the ruler of thy people."
"Ac 28:26,27","Saying, Go unto this people, and say, Hearing ye shall hear, and shall not understand; and seeing ye shall see, and not perceive:","Isa 6:9,10","And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
Ro 1:17,"For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.",Hab 2:4,"Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith."
Ro 2:24,"For the name of God is blasphemed among the Gentiles through you, as it is written.",Isa 52:5,"Now therefore, what have I here, saith the LORD, that my people is taken away for nought? they that rule over them make them to howl, saith the LORD; and my name continually every day is blasphemed."
Ro 2:24,"For the name of God is blasphemed among the Gentiles through you, as it is written.",Eze 36:20,"And when they entered unto the heathen, whither they went, they profaned my holy name, when they said to them, These are the people of the LORD, and are gone forth out of his land."
Ro 3:4,"God forbid: yea, let God be true, but every man a liar; as it is written, That thou mightest be justified in thy sayings, and mightest overcome when thou art judged.",Ps 116:11,"I said in my haste, All men are liars."
Ro 3:4,"God forbid: yea, let God be true, but every man a liar; as it is written, That thou mightest be justified in thy sayings, and mightest overcome when thou art judged.",Ps 51:4,"Against thee, thee only, have I sinned, and done this evil in thy sight: that thou mightest be justified when thou speakest, and be clear when thou judgest."
"Ro 3:10,11,12","As it is written, There is none righteous, no, not one:","Ps 14:1,2,3","The fool hath said in his heart, There is no God. They are corrupt, they have done abominable works, there is none that doeth good."
"Ro 3:10,11,12","As it is written, There is none righteous, no, not one:","Ps 53:1,2,3","The fool hath said in his heart, There is no God. Corrupt are they, and have done abominable iniquity: there is none that doeth good."
Ro 3:13,Their throat is an open sepulchre; with their tongues they have used deceit; the poison of asps is under their lips:,Ps 5:9,For there is no faithfulness in their mouth; their inward part is very wickedness; their throat is an open sepulchre; they flatter with their tongue.
Ro 3:13,Their throat is an open sepulchre; with their tongues they have used deceit; the poison of asps is under their lips:,Ps 140:3,They have sharpened their tongues like a serpent; adders' poison is under their lips. Selah.
Ro 3:14,Whose mouth is full of cursing and bitterness:,Ps 10:7,His mouth is full of cursing and deceit and fraud: under his tongue is mischief and vanity.
Ro 3:15-18,Their feet are swift to shed blood:,"Isa 59:7,8","Their feet run to evil, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; wasting and destruction are in their paths."
Ro 3:18,There is no fear of God before their eyes.,Ps 36:1,"The transgression of the wicked saith within my heart, that there is no fear of God before his eyes."
Ro 4:3,"For what saith the scripture? Abraham believed God, and it was counted unto him for righteousness.",Ge 15:6,And he believed in the LORD; and he counted it to him for righteousness.
"Ro 4:7,8","Saying, Blessed are they whose iniquities are forgiven, and whose sins are covered.","Ps 32:1,2","Blessed is he whose transgression is forgiven, whose sin is covered."
Ro 4:11,"And he received the sign of circumcision, a seal of the righteousness of the faith which he had yet being uncircumcised: that he might be the father of all them that believe, though they be not circumcised; that righteousness might be imputed unto them also:",Ge 17:10,"This is my covenant, which ye shall keep, between me and you and thy seed after thee; Every man child among you shall be circumcised."
Ro 4:17,"(As it is written, I have made thee a father of many nations,) before him whom he believed, even God, who quickeneth the dead, and calleth those things which be not as though they were.",Ge 17:5,"Neither shall thy name any more be called Abram, but thy name shall be Abraham; for a father of many nations have I made thee."
Ro 4:18,"Who against hope believed in hope, that he might become the father of many nations, according to that which was spoken, So shall thy seed be.",Ge 15:5,"And he brought him forth abroad, and said, Look now toward heaven, and tell the stars, if thou be able to number them: and he said unto him, So shall thy seed be."
Ro 7:7,"What shall we say then? Is the law sin? God forbid. Nay, I had not known sin, but by the law: for I had not known lust, except the law had said, Thou shalt not covet.",Ex 20:17,"Thou shalt not covet thy neighbor's house, thou shalt not covet thy neighbor's wife, nor his manservant, nor his maidservant, nor his ox, nor his ass, nor any thing that is thy neighbor's."
Ro 7:7,"What shall we say then? Is the law sin? God forbid. Nay, I had not known sin, but by the law: for I had not known lust, except the law had said, Thou shalt not covet.",De 5:21,"Neither shalt thou desire thy neighbor's wife, neither shalt thou covet thy neighbor's house, his field, or his manservant, or his maidservant, his ox, or his ass, or any thing that is thy neighbor's."
Ro 8:36,"As it is written, For thy sake we are killed all the day long; we are accounted as sheep for the slaughter.",Ps 44:22,"Yea, for thy sake are we killed all the day long; we are counted as sheep for the slaughter."
Ro 9:7,"Neither, because they are the seed of Abraham, are they all children: but, In Isaac shall thy seed be called.",Ge 21:12,"And God said unto Abraham, Let it not be grievous in thy sight because of the lad, and because of thy bondwoman; in all that Sarah hath said unto thee, hearken unto her voice; for in Isaac shall thy seed be called."
Ro 9:9,"For this is the word of promise, At this time will I come, and Sarah shall have a son.",Ge 18:10,"And he said, I will certainly return unto thee according to the time of life; and, lo, Sarah thy wife shall have a son. And Sarah heard it in the tent door, which was behind him."
Ro 9:12,"It was said unto her, The elder shall serve the younger.",Ge 25:23,"And the LORD said unto her, Two nations are in thy womb, and two manner of people shall be separated from thy bowels; and the one people shall be stronger than the other people; and the elder shall serve the younger."
Ro 9:13,"As it is written, Jacob have I loved, but Esau have I hated.","Mal 1:2,3","I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? Was not Esau Jacob's brother? saith the LORD: yet I loved Jacob,"
Ro 9:15,"For he saith to Moses, I will have mercy on whom I will have mercy, and I will have compassion on whom I will have compassion.",Ex 33:19,"And he said, I will make all my goodness pass before thee, and I will proclaim the name of the LORD before thee; and will be gracious to whom I will be gracious, and will show mercy on whom I will show mercy."
Ro 9:17,"For the scripture saith unto Pharaoh, Even for this same purpose have I raised thee up, that I might shew my power in thee, and that my name might be declared throughout all the earth.",Ex 9:16,"And in very deed for this cause have I raised thee up, for to show in thee my power; and that my name may be declared throughout all the earth."
Ro 9:25,"As he saith also in Osee, I will call them my people, which were not my people; and her beloved, which was not beloved.",Ho 2:23,"And I will sow her unto me in the earth; and I will have mercy upon her that had not obtained mercy; and I will say to them which were not my people, Thou art my people; and they shall say, Thou art my God."
Ro 9:26,"And it shall come to pass, that in the place where it was said unto them, Ye are not my people; there shall they be called the children of the living God.",Ho 1:10,"Yet the number of the children of Israel shall be as the sand of the sea, which cannot be measured nor numbered; and it shall come to pass, that in the place where it was said unto them, Ye are not my people, there it shall be said unto them, Ye are the sons of the living God."
"Ro 9:27,28","Esaias also crieth concerning Israel, Though the number of the children of Israel be as the sand of the sea, a remnant shall be saved:","Isa 10:22,23","For though thy people Israel be as the sand of the sea, yet a remnant of them shall return: the consumption decreed shall overflow with righteousness."
Ro 9:29,"And as Esaias said before, Except the Lord of Sabaoth had left us a seed, we had been as Sodoma, and been made like unto Gomorrha.",Isa 1:9,"Except the LORD of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah."
Ro 9:33,"As it is written, Behold, I lay in Sion a stumblingstone and rock of offence: and whosoever believeth on him shall not be ashamed.",Isa 8:14,"And he shall be for a sanctuary; but for a stone of stumbling and for a rock of offence to both the houses of Israel, for a gin and for a snare to the inhabitants of Jerusalem."
Ro 9:33,"As it is written, Behold, I lay in Sion a stumblingstone and rock of offence: and whosoever believeth on him shall not be ashamed.",Isa 28:16,"Therefore thus saith the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believeth shall not make haste."
Ro 10:5,"For Moses describeth the righteousness which is of the law, That the man which doeth those things shall live by them.",Le 18:5,"Ye shall therefore keep my statutes, and my judgments: which if a man do, he shall live in them: I am the LORD."
Ro 10:5,"For Moses describeth the righteousness which is of the law, That the man which doeth those things shall live by them.",Eze 20:11,"And I gave them my statutes, and shewed them my judgments, which if a man do, he shall even live in them."
Ro 10:8,"But what saith it? The word is nigh thee, even in thy mouth, and in thy heart: that is, the word of faith, which we preach;",De 30:14,"But the word is very nigh unto thee, in thy mouth, and in thy heart, that thou mayest do it."
Ro 10:11,"For the scripture saith, Whosoever believeth on him shall not be ashamed.",Isa 28:16,"Therefore thus saith the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believeth shall not make haste."
Ro 10:13,For whosoever shall call upon the name of the Lord shall be saved.,Joe 2:32,"And it shall come to pass, that whosoever shall call on the name of the LORD shall be delivered: for in mount Zion and in Jerusalem shall be deliverance, as the LORD hath said, and in the remnant whom the LORD shall call."
Ro 10:15,"And how shall they preach, except they be sent? as it is written, How beautiful are the feet of them that preach the gospel of peace, and bring glad tidings of good things!",Isa 52:7,"How beautiful upon the mountains are the feet of him that bringeth good tidings, that publisheth peace; that bringeth good tidings of good, that publisheth salvation; that saith unto Zion, Thy God reigneth!"
Ro 10:15,"And how shall they preach, except they be sent? as it is written, How beautiful are the feet of them that preach the gospel of peace, and bring glad tidings of good things!",Na 1:15,"Behold upon the mountains the feet of him that bringeth good tidings, that publisheth peace! O Judah, keep thy solemn feasts, perform thy vows: for the wicked shall no more pass through thee; he is utterly cut off."
Ro 10:16,"But they have not all obeyed the gospel. For Esaias saith, Lord, who hath believed our report?",Isa 53:1,Who hath believed our report? and to whom is the arm of the LORD revealed?
Ro 10:18,"But I say, Have they not heard? Yes verily, their sound went into all the earth, and their words unto the ends of the world.",Ps 19:4,"Their line is gone out through all the earth, and their words to the end of the world. In them hath he set a tabernacle for the sun,"
Ro 10:19,"But I say, Did not Israel know? First Moses saith, I will provoke you to jealousy by them that are no people, and by a foolish nation I will anger you.",De 32:21,They have moved me to jealousy with that which is not God; they have provoked me to anger with their vanities: and I will move them to jealousy with those which are not a people; I will provoke them to anger with a foolish nation.
"Ro 10:20,21","But Esaias is very bold, and saith, I was found of them that sought me not; I was made manifest unto them that asked not after me.","Isa 65:1,2","I am sought of them that asked not for me; I am found of them that sought me not: I said, Behold me, behold me, unto a nation that was not called by my name."
Ro 11:3,"Lord, they have killed thy prophets, and digged down thine altars; and I am left alone, and they seek my life.","1Ki 19:10,14","And he said, I have been very jealous for the LORD God of hosts: for the children of Israel have forsaken thy covenant, thrown down thine altars, and slain thy prophets with the sword; and I, even I only, am left; and they seek my life, to take it away."
Ro 11:4,"But what saith the answer of God unto him? I have reserved to myself seven thousand men, who have not bowed the knee to the image of Baal.",1Ki 19:18,"Yet I have left me seven thousand in Israel, all the knees which have not bowed unto Baal, and every mouth which hath not kissed him."
Ro 11:8,"(According as it is written, God hath given them the spirit of slumber, eyes that they should not see, and ears that they should not hear;) unto this day.",Isa 29:10,"For the LORD hath poured out upon you the spirit of deep sleep, and hath closed your eyes: the prophets and your rulers, the seers hath he covered."
"Ro 11:9,10","And David saith, Let their table be made a snare, and a trap, and a stumblingblock, and a recompence unto them:","Ps 69:22,23","Let their table become a snare before them: and that which should have been for their welfare, let it become a trap."
"Ro 11:26,27","And so all Israel shall be saved: as it is written, There shall come out of Sion the Deliverer, and shall turn away ungodliness from Jacob:","Isa 59:20,21","And the Redeemer shall come to Zion, and unto them that turn from transgression in Jacob, saith the LORD."
Ro 11:34,For who hath known the mind of the Lord? or who hath been his counsellor?,Isa 40:13,"Who hath directed the Spirit of the LORD, or being his counsellor hath taught him?"
Ro 12:16,"Be of the same mind one toward another. Mind not high things, but condescend to men of low estate. Be not wise in your own conceits.",Pr 3:7,"Be not wise in thine own eyes: fear the LORD, and depart from evil."
Ro 12:19,"Dearly beloved, avenge not yourselves, but rather give place unto wrath: for it is written, Vengeance is mine; I will repay, saith the Lord.",De 32:35,"To me belongeth vengeance and recompence; their foot shall slide in due time: for the day of their calamity is at hand, and the things that shall come upon them make haste."
Ro 12:20,"Therefore if thine enemy hunger, feed him; if he thirst, give him drink: for in so doing thou shalt heap coals of fire on his head.","Pr 25:21,22","If thine enemy be hungry, give him bread to eat; and if he be thirsty, give him water to drink:"
Ro 13:9,"For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not bear false witness, Thou shalt not covet; and if there be any other commandment, it is briefly comprehended in this saying, namely, Thou shalt love thy neighbour as thyself.","Ex 20:13,17",Thou shalt not kill.
Ro 13:9,"For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not bear false witness, Thou shalt not covet; and if there be any other commandment, it is briefly comprehended in this saying, namely, Thou shalt love thy neighbour as thyself.",De 5:16-21,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
Ro 13:9,"For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not bear false witness, Thou shalt not covet; and if there be any other commandment, it is briefly comprehended in this saying, namely, Thou shalt love thy neighbour as thyself.",Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
Ro 14:11,"For it is written, As I live, saith the Lord, every knee shall bow to me, and every tongue shall confess to God.",Isa 45:23,"I have sworn by myself, the word is gone out of my mouth in righteousness, and shall not return, That unto me every knee shall bow, every tongue shall swear."
Ro 15:3,"For even Christ pleased not himself; but, as it is written, The reproaches of them that reproached thee fell on me.",Ps 69:9,For the zeal of thine house hath eaten me up; and the reproaches of them that reproached thee are fallen upon me.
Ro 15:9,"And that the Gentiles might glorify God for his mercy; as it is written, For this cause I will confess to thee among the Gentiles, and sing unto thy name.",Ps 18:49,"Therefore will I give thanks unto thee, O LORD, among the heathen, and sing praises unto thy name."
Ro 15:10,"And again he saith, Rejoice, ye Gentiles, with his people.",De 32:43,"Rejoice, O ye nations, with his people: for he will avenge the blood of his servants, and will render vengeance to his adversaries, and will be merciful unto his land, and to his people."
Ro 15:11,"And again, Praise the Lord, all ye Gentiles; and laud him, all ye people.",Ps 117:1,"O praise the LORD, all ye nations: praise him, all ye people."
Ro 15:12,"And again, Esaias saith, There shall be a root of Jesse, and he that shall rise to reign over the Gentiles; in him shall the Gentiles trust.","Isa 11:1,10","And there shall come forth a rod out of the stem of Jesse, and a Branch shall grow out of his roots:"
Ro 15:21,"But as it is written, To whom he was not spoken of, they shall see: and they that have not heard shall understand.",Isa 52:15,So shall he sprinkle many nations; the kings shall shut their mouths at him: for that which had not been told them shall they see; and that which they had not heard shall they consider.
1Co 1:19,"For it is written, I will destroy the wisdom of the wise, and will bring to nothing the understanding of the prudent.",Isa 29:14,"Therefore, behold, I will proceed to do a marvellous work among this people, even a marvellous work and a wonder: for the wisdom of their wise men shall perish, and the understanding of their prudent men shall be hid."
1Co 1:31,"That, according as it is written, He that glorieth, let him glory in the Lord.",Jer 9:24,"But let him that glorieth glory in this, that he understandeth and knoweth me, that I am the LORD which exercise lovingkindness, judgment, and righteousness, in the earth: for in these things I delight, saith the LORD."
1Co 2:9,"But as it is written, Eye hath not seen, nor ear heard, neither have entered into the heart of man, the things which God hath prepared for them that love him.",Isa 64:4,"For since the beginning of the world men have not heard, nor perceived by the ear, neither hath the eye seen, O God, beside thee, what he hath prepared for him that waiteth for him."
1Co 2:16,"For who hath known the mind of the Lord, that he may instruct him? But we have the mind of Christ.",Isa 40:13,"Who hath directed the Spirit of the LORD, or being his counsellor hath taught him?"
1Co 3:19,"For the wisdom of this world is foolishness with God. For it is written, He taketh the wise in their own craftiness.",Job 5:13,He taketh the wise in their own craftiness: and the counsel of the froward is carried headlong.
1Co 3:20,"And again, The Lord knoweth the thoughts of the wise, that they are vain.",Ps 94:11,"The LORD knoweth the thoughts of man, that they are vanity."
1Co 6:16,"What? know ye not that he which is joined to an harlot is one body? for two, saith he, shall be one flesh.",Ge 2:24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
1Co 9:9,"For it is written in the law of Moses, Thou shalt not muzzle the mouth of the ox that treadeth out the corn. Doth God take care for oxen?",De 25:4,Thou shalt not muzzle the ox when he treadeth out the corn.
1Co 10:7,"Neither be ye idolaters, as were some of them; as it is written, The people sat down to eat and drink, and rose up to play.",Ex 32:6,"And they rose up early on the morrow, and offered burnt offerings, and brought peace offerings; and the people sat down to eat and to drink, and rose up to play."
1Co 10:20,"But I say, that the things which the Gentiles sacrifice, they sacrifice to devils, and not to God: and I would not that ye should have fellowship with devils.",De 32:17,"They sacrificed unto devils, not to God; to gods whom they knew not, to new gods that came newly up, whom your fathers feared not."
1Co 10:26,"For the earth is the Lord's, and the fulness thereof.",Ps 24:1,"The earth is the LORD's, and the fulness thereof; the world, and they that dwell therein."
1Co 14:21,"In the law it is written, With men of other tongues and other lips will I speak unto this people; and yet for all that will they not hear me, saith the Lord.","Isa 28:11,12",For with stammering lips and another tongue will he speak to this people.
1Co 15:25,"For he must reign, till he hath put all enemies under his feet.",Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
1Co 15:27,"For he hath put all things under his feet. But when he saith all things are put under him, it is manifest that he is excepted, which did put all things under him.",Ps 8:6,Thou madest him to have dominion over the works of thy hands; thou hast put all things under his feet:
1Co 15:32,"If after the manner of men I have fought with beasts at Ephesus, what advantageth it me, if the dead rise not? let us eat and drink; for to morrow we die.",Isa 22:13,"And behold joy and gladness, slaying oxen, and killing sheep, eating flesh, and drinking wine: let us eat and drink; for to morrow we shall die."
1Co 15:45,"And so it is written, The first man Adam was made a living soul; the last Adam was made a quickening spirit.",Ge 2:7,"And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul."
1Co 15:54,"So when this corruptible shall have put on incorruption, and this mortal shall have put on immortality, then shall be brought to pass the saying that is written, Death is swallowed up in victory.",Isa 25:8,He will swallow up death in victory; and the Lord GOD will wipe away tears from off all faces; and the rebuke of his people shall he take away from off all the earth: for the LORD hath spoken it.
1Co 15:55,"O death, where is thy sting? O grave, where is thy victory?",Ho 13:14,"I will ransom them from the power of the grave; I will redeem them from death: O death, I will be thy plagues; O grave, I will be thy destruction: repentance shall be hid from mine eyes."
2Co 4:13,"We having the same spirit of faith, according as it is written, I believed, and therefore have I spoken; we also believe, and therefore speak;",Ps 116:10,"I believed, therefore have I spoken: I was greatly afflicted:"
2Co 5:17,"Therefore if any man be in Christ, he is a new creature: old things are passed away; behold, all things are become new.","Isa 43:18,19","Remember ye not the former things, neither consider the things of old."
2Co 6:2,"(For he saith, I have heard thee in a time accepted, and in the day of salvation have I succoured thee: behold, now is the accepted time; behold, now is the day of salvation.)",Isa 49:8,"Thus saith the LORD, In an acceptable time have I heard thee, and in a day of salvation have I helped thee: and I will preserve thee, and give thee for a covenant of the people, to establish the earth, to cause to inherit the desolate heritages;"
2Co 6:16,"And what agreement hath the temple of God with idols? for ye are the temple of the living God; as God hath said, I will dwell in them, and walk in them; and I will be their God, and they shall be my people.","Le 26:11,12",And I set my tabernacle among you: and my soul shall not abhor you.
"2Co 6:17,18","Wherefore come out from among them, and be ye separate, saith the Lord, and touch not the unclean thing; and I will receive you.","Isa 52:11,12","Depart ye, depart ye, go ye out from thence, touch no unclean thing; go ye out of the midst of her; be ye clean, that bear the vessels of the LORD."
"2Co 6:17,18","Wherefore come out from among them, and be ye separate, saith the Lord, and touch not the unclean thing; and I will receive you.",Jer 31:9,"They shall come with weeping, and with supplications will I lead them: I will cause them to walk by the rivers of waters in a straight way, wherein they shall not stumble: for I am a father to Israel, and Ephraim is my firstborn."
"2Co 6:17,18","Wherefore come out from among them, and be ye separate, saith the Lord, and touch not the unclean thing; and I will receive you.",2Sa 7:14,"I will be his father, and he shall be my son. If he commit iniquity, I will chasten him with the rod of men, and with the stripes of the children of men:"
2Co 8:15,"As it is written, He that had gathered much had nothing over; and he that had gathered little had no lack.",Ex 16:18,"And when they did mete it with an omer, he that gathered much had nothing over, and he that gathered little had no lack; they gathered every man according to his eating."
2Co 9:9,"(As it is written, He hath dispersed abroad; he hath given to the poor: his righteousness remaineth for ever.",Ps 112:9,"He hath dispersed, he hath given to the poor; his righteousness endureth for ever; his horn shall be exalted with honour."
2Co 10:17,"But he that glorieth, let him glory in the Lord.",Jer 9:24,"But let him that glorieth glory in this, that he understandeth and knoweth me, that I am the LORD which exercise lovingkindness, judgment, and righteousness, in the earth: for in these things I delight, saith the LORD."
2Co 13:1,This is the third time I am coming to you. In the mouth of two or three witnesses shall every word be established.,De 19:15,"One witness shall not rise up against a man for any iniquity, or for any sin, in any sin that he sinneth: at the mouth of two witnesses, or at the mouth of three witnesses, shall the matter be established."
Ga 2:6,"But of these who seemed to be somewhat, (whatsoever they were, it maketh no matter to me: God accepteth no man's person:) for they who seemed to be somewhat in conference added nothing to me:",De 10:17,"For the LORD your God is God of gods, and Lord of lords, a great God, a mighty, and a terrible, which regardeth not persons, nor taketh reward:"
Ga 3:8,"And the scripture, foreseeing that God would justify the heathen through faith, preached before the gospel unto Abraham, saying, In thee shall all nations be blessed.",Ge 12:3,"And I will bless them that bless thee, and curse him that curseth thee: and in thee shall all families of the earth be blessed."
Ga 3:10,"For as many as are of the works of the law are under the curse: for it is written, Cursed is every one that continueth not in all things which are written in the book of the law to do them.",De 27:26,"Cursed be he that confirmeth not all the words of this law to do them. And all the people shall say, Amen."
Ga 3:11,"But that no man is justified by the law in the sight of God, it is evident: for, The just shall live by faith.",Hab 2:4,"Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith."
Ga 3:12,"And the law is not of faith: but, The man that doeth them shall live in them.",Le 18:5,"Ye shall therefore keep my statutes, and my judgments: which if a man do, he shall live in them: I am the LORD."
Ga 3:13,"Christ hath redeemed us from the curse of the law, being made a curse for us: for it is written, Cursed is every one that hangeth on a tree:",De 21:23,"His body shall not remain all night upon the tree, but thou shalt in any wise bury him that day; (for he that is hanged is accursed of God;) that thy land be not defiled, which the LORD thy God giveth thee for an inheritance."
Ga 3:16,"Now to Abraham and his seed were the promises made. He saith not, And to seeds, as of many; but as of one, And to thy seed, which is Christ.",Ge 22:18,And in thy seed shall all the nations of the earth be blessed; because thou hast obeyed my voice.
Ga 4:27,"For it is written, Rejoice, thou barren that bearest not; break forth and cry, thou that travailest not: for the desolate hath many more children than she which hath an husband.",Isa 54:1,"Sing, O barren, thou that didst not bear; break forth into singing, and cry aloud, thou that didst not travail with child: for more are the children of the desolate than the children of the married wife, saith the LORD."
Ga 4:30,Nevertheless what saith the scripture? Cast out the bondwoman and her son: for the son of the bondwoman shall not be heir with the son of the freewoman.,Ge 21:10,"Wherefore she said unto Abraham, Cast out this bondwoman and her son: for the son of this bondwoman shall not be heir with my son, even with Isaac."
Ga 5:14,"For all the law is fulfilled in one word, even in this; Thou shalt love thy neighbour as thyself.",Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
Eph 4:8,"Wherefore he saith, When he ascended up on high, he led captivity captive, and gave gifts unto men.",Ps 68:18,"Thou hast ascended on high, thou hast led captivity captive: thou hast received gifts for men; yea, for the rebellious also, that the LORD God might dwell among them."
Eph 4:25,"Wherefore putting away lying, speak every man truth with his neighbour: for we are members one of another.",Zec 8:16,These are the things that ye shall do; Speak ye every man the truth to his neighbour; execute the judgment of truth and peace in your gates:
Eph 4:26,"Be ye angry, and sin not: let not the sun go down upon your wrath:",Ps 4:4,"Stand in awe, and sin not: commune with your own heart upon your bed, and be still. Selah."
Eph 5:31,"For this cause shall a man leave his father and mother, and shall be joined unto his wife, and they two shall be one flesh.",Ge 2:4,"These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,"
